date,description,amount
2025-01-03,Swiggy Order,450
2025-01-08,Uber Ride,320
2025-01-12,Indian Oil Fuel,2500
2025-01-18,Amazon Shopping,1800
2025-01-25,Netflix Subscription,649
2025-02-02,Swiggy Order,380
2025-02-05,Uber Ride,290
2025-02-10,HP Fuel Station,3000
2025-02-15,Amazon Purchase,2200
2025-02-22,PVR Cinema,750
2025-03-04,Zomato Order,520
2025-03-08,Ola Ride,310
2025-03-11,BPCL Fuel,2800
2025-03-17,Flipkart Purchase,3500
2025-03-25,Spotify Premium,119
2025-04-03,Swiggy Food,470
2025-04-09,Uber Ride,340
2025-04-14,Indian Oil Fuel,2600
2025-04-19,Amazon Shopping,2400
2025-04-28,BookMyShow Tickets,900
