name,issuer,network,annual_fee,joining_fee,food_cashback,fuel_cashback,travel_cashback,shopping_cashback,entertainment_cashback,utility_cashback,reward_rate,welcome_bonus,lounge_access,description
HDFC Millennia,HDFC,Visa,1000,1000,5,1,1,5,5,1,1,1000,8,"Best for online shopping, food delivery and entertainment spending. High cashback card for digital-first users."
HDFC Infinia Metal,HDFC,Visa,12500,12500,10,1,3.3,10,10,1,3.3,12500,100,"Premium super-luxury credit card for high spenders. Excellent rewards on shopping, dining and travel with extensive lounge access."
HDFC Marriott Bonvoy,HDFC,Visa,3000,3000,2,1,8,2,2,1,2,15000,12,"Travel and hotel rewards card focused on Marriott Bonvoy benefits. Ideal for frequent travelers and hotel stays."
Tata Neu Infinity,HDFC,Visa,1499,1499,5,1.5,5,5,5,5,1.5,1499,8,"Best for Tata ecosystem users. Strong rewards on shopping, food, travel and utility payments."
ICICI Coral,ICICI,Visa,500,500,1,1,1,1,2,1,0.5,500,4,"Entry-level lifestyle credit card with basic rewards, movie offers and lounge access."
ICICI Rubyx,ICICI,Visa,3000,3000,2,1,2,2,2,1,1,3000,8,"Mid-premium lifestyle card offering balanced benefits across dining, travel and shopping."
ICICI Sapphiro,ICICI,Visa,6500,6500,2,1,2,2,2,1,1,6500,16,"Premium lifestyle card with enhanced travel benefits, entertainment privileges and lounge access."
Axis ACE,Axis,Visa,499,499,1.5,1,1,1.5,1.5,5,1.5,500,4,"Excellent cashback card for utility bill payments and daily spending. Best suited for cashback seekers."
Axis Cashback,Axis,Visa,1000,1000,4,1,1,5,4,1,1,1000,4,"High cashback card designed for online shopping and e-commerce purchases."
Axis Neo,Axis,Visa,250,250,2,1,1,2,2,1,0.5,250,2,"Affordable entry-level cashback card suitable for students and first-time credit card users."
SBI PRIME,SBI,Visa,2999,2999,2,1,2,2,2,1,1,3000,8,"Premium lifestyle credit card with travel, dining and entertainment benefits."
SBI ELITE,SBI,Visa,4999,4999,2,1,2,2,2,1,1,5000,12,"Luxury lifestyle card offering premium travel experiences, lounge access and reward benefits."
SBI Miles Elite,SBI,Visa,4999,4999,1,1,4,1,1,1,2,5000,8,"Travel-focused credit card for frequent flyers. Earn accelerated travel rewards and air miles."
BPCL SBI Octane,SBI,Visa,1499,1499,1,7.25,1,1,1,1,1,1500,4,"One of the best fuel credit cards in India. Provides exceptional rewards on fuel purchases."
Amex SmartEarn,American Express,Amex,495,495,5,1,1,5,2,1,1,500,0,"Entry-level American Express card optimized for online shopping, food delivery and digital spending."
Amex MRCC,American Express,Amex,1500,1500,2,1,2,2,2,1,2,2000,0,"Reward points focused card ideal for maximizing Membership Rewards through regular spending."
Amex Platinum Travel,American Express,Amex,5000,5000,2,1,8,2,2,1,2,5000,8,"Travel rewards card with milestone benefits, travel perks and airport lounge access."
Amex Platinum Reserve,American Express,Amex,10000,10000,2,1,4,2,2,1,2,10000,12,"Premium lifestyle and travel card offering luxury benefits, dining privileges and lounge access."
Amex Platinum Travel,American Express,Amex,5000,3500,2,1,8,2,2,1,2,5000,8,"Travel rewards card with milestone benefits, travel perks and airport lounge access."
Amex Platinum Reserve,American Express,Amex,10000,10000,2,1,4,2,2,1,2,10000,12,"Premium lifestyle and travel card offering luxury benefits, dining privileges and lounge access."
